PDB_ID,Function
8X72_ca,Function not found
6LTK_ca,Function not found
7AYV_ca,Function not found
7DAX_ca,Function not found
7JHD_ca,Function not found
8IIZ_ca,Function not found
7LG3_ca,Function not found
7CIU_ca,Function not found
6PKH_ca,Function not found
7XHK_ca,Function not found
7AB8_ca,Function not found
7AXF_ca,Function not found
6K80_ca,Function not found
8A8Q_ca,Function not found
8GYN_ca,Function not found
4IRR_ca,Function not found
7O3S_ca,Function not found
7JL7_ca,Function not found
3N9N_ca,Function not found
6YYK_ca,Function not found
6OS4_ca,Function not found
7D86_ca,Function not found
7DB3_ca,Function not found
8C6B_ca,Function not found
7B39_ca,Function not found
8HTC_ca,Function not found
6S7F_ca,Function not found
7VNI_ca,Function not found
7CFB_ca,Function not found
7KP1_ca,Function not found
6T2M_ca,Function not found
7OXU_ca,Function not found
6YRQ_ca,Function not found
7DCJ_ca,Function not found
7BO6_ca,Function not found
6HXY_ca,Function not found
8G1Z_ca,Function not found
6WFW_ca,Function not found
8C6F_ca,Function not found
6Y20_ca,Function not found
6XG7_ca,Function not found
8K71_ca,Function not found
7BJI_ca,Function not found
7SH4_ca,Function not found
7PV5_ca,Function not found
6KOJ_ca,Function not found
8ADD_ca,Function not found
7CQV_ca,Function not found
8D6F_ca,Function not found
6UPR_ca,Function not found
7F2X_ca,Function not found
7CIW_ca,Function not found
7AZW_ca,Function not found
7PRX_ca,Function not found
7ULU_ca,Function not found
7Q4I_ca,Function not found
7QG1_ca,Function not found
7K2R_ca,Function not found
6ULV_ca,Function not found
3K6J_ca,Function not found
6S9F_ca,Function not found
6X5Q_ca,Function not found
8PZ9_ca,Function not found
8C6A_ca,Function not found
1D4X_ca,Function not found
3N9O_ca,Function not found
8HAQ_ca,Function not found
7WCW_ca,Function not found
7YB7_ca,Function not found
8SO1_ca,Function not found
7XVX_ca,Function not found
7MRS_ca,Function not found
7X15_ca,Function not found
8F1X_ca,Function not found
6JLH_ca,Function not found
6XZV_ca,Function not found
4JND_ca,Function not found
8EWR_ca,Function not found
7DB0_ca,Function not found
6PYO_ca,Function not found
7LZF_ca,Function not found
6PZS_ca,Function not found
8DHU_ca,Function not found
6ZMU_ca,Function not found
7OXZ_ca,Function not found
6XZI_ca,Function not found
8GM5_ca,Function not found
6XWV_ca,Function not found
8C6H_ca,Function not found
6TBN_ca,Function not found
6Y6E_ca,Function not found
6ZW1_ca,Function not found
7PWT_ca,Function not found
6PGW_ca,Function not found
7FCL_ca,Function not found
6LPH_ca,Function not found
8BS5_ca,Function not found
7UAD_ca,Function not found
7JQG_ca,Function not found
7KVX_ca,Function not found
7O2R_ca,Function not found
8BJK_ca,Function not found
6VJ9_ca,Function not found
7JVO_ca,Function not found
7DB2_ca,Function not found
7BJO_ca,Function not found
7DOV_ca,Function not found
8CKC_ca,Function not found
7Y8D_ca,Function not found
8G8O_ca,Function not found
7OC3_ca,Function not found
7ZFG_ca,Function not found
3N9P_ca,Function not found
6YUY_ca,Function not found
7E1T_ca,Function not found
8DHH_ca,Function not found
8PBR_ca,Function not found
8SWE_ca,Function not found
8E8B_ca,Function not found
7APJ_ca,Function not found
7CIV_ca,Function not found
6TWA_ca,Function not found
7MQY_ca,Function not found
7SVB_ca,Function not found
7RL3_ca,Function not found
8D7P_ca,Function not found
6ELK_ca,Function not found
6XYS_ca,Function not found
8DIO_ca,Function not found
7YFK_ca,Function not found
7CMR_ca,Function not found
7DAY_ca,Function not found
6O5Z_ca,Function not found
8BOK_ca,Function not found
6VJ8_ca,Function not found
8OIJ_ca,Function not found
6XJN_ca,Function not found
8AK2_ca,Function not found
6LXC_ca,Function not found
8FDX_ca,Function not found
6GWQ_ca,Function not found
7BJS_ca,Function not found
8D6D_ca,Function not found
6XZK_ca,Function not found
5SGM_ca,Function not found
7ALT_ca,Function not found
7TGQ_ca,Function not found
8CIH_ca,Function not found
7CIX_ca,Function not found
7CUY_ca,Function not found
7U9D_ca,Function not found
8FDY_ca,Function not found
6Z26_ca,Function not found
7KHG_ca,Function not found
7QUT_ca,Function not found
6T2T_ca,Function not found
8B8Z_ca,Function not found
8OGC_ca,Function not found
6XRO_ca,Function not found
6KCP_ca,Function not found
7R3O_ca,Function not found
8C6C_ca,Function not found
6HXV_ca,Function not found
8UQB_ca,Function not found
7UK2_ca,Function not found
7JW6_ca,Function not found
6XTZ_ca,Function not found
7JO7_ca,Function not found
6S7Y_ca,Function not found
6VFQ_ca,Function not found
7ZFX_ca,Function not found
7R5F_ca,Function not found
7MRO_ca,Function not found
6KD6_ca,Function not found
7NYQ_ca,Function not found
8CK5_ca,Function not found
7DB1_ca,Function not found
6UJO_ca,Function not found
6TFW_ca,Function not found
6JVR_ca,Function not found
6THV_ca,Function not found
6XRP_ca,Function not found
7D87_ca,Function not found
8DKT_ca,Function not found
7D8A_ca,Function not found
6VNV_ca,Function not found
8OMK_ca,Function not found
8C1U_ca,Function not found
7BTG_ca,Function not found
7MFW_ca,Function not found
6SLW_ca,Function not found
7DB4_ca,Function not found
8PZ7_ca,Function not found
7O08_ca,Function not found
8C69_ca,Function not found
8R79_ca,Function not found
6V7A_ca,Function not found
6Q9M_ca,Function not found
7AZT_ca,Function not found
6XDB_ca,Function not found
8OG5_ca,Function not found
7ME5_ca,Function not found
6V4H_ca,Function not found
7OY4_ca,Function not found
8SKI_ca,Function not found
8AK3_ca,Function not found
7UVE_ca,Function not found
8G8S_ca,Function not found
1ZL9_ca,Function not found
7VNH_ca,Function not found
6WMS_ca,Function not found
6KQP_ca,Function not found
7PO9_ca,Function not found
7Y9C_ca,Function not found
6XZJ_ca,Function not found
6XI4_ca,Function not found
6ZUW_ca,Function not found
6WYP_ca,Function not found
7ZHH_ca,Function not found
7ZC9_ca,Function not found
7MIC_ca,Function not found
6XZH_ca,Function not found
7POK_ca,Function not found
7MY4_ca,Function not found
6WSJ_ca,Function not found
6QQ4_ca,Function not found
7DAZ_ca,Function not found
6V4E_ca,Function not found
3N9Q_ca,Function not found
7YBX_ca,Function not found
6VRO_ca,Function not found
7XUB_ca,Function not found
6S7X_ca,Function not found
7ME4_ca,Function not found
6YRB_ca,Function not found
7MNU_ca,Function not found
