PDB_ID,Function
6ZMU,OXIDOREDUCTASE
6XTZ,SIGNALING PROTEIN
6T2T,TRANSFERASE
6YRQ,VIRAL PROTEIN
7AYV,LYASE
7VNI,TRANSCRIPTION
7ALT,SIGNALING PROTEIN
7Q4I,TRANSFERASE
6QQ4,TRANSPORT PROTEIN
6VJ8,HYDROLASE/HYDROLASE INHIBITOR
8C6B,FLAVOPROTEIN
7DB0,TRANSFERASE
6XRO,HYDROLASE/HYDROLASE INHIBITOR
8C1U,FLAVOPROTEIN
7OC3,PROTEIN BINDING
7DAZ,TRANSFERASE
7VNH,TRANSCRIPTION
6LPH,PROTEIN BINDING
7CQV,SIGNALING PROTEIN
6XG7,PROTEIN BINDING
7ME4,SIGNALING PROTEIN
6KD6,DNA BINDING PROTEIN
7NYQ,RNA BINDING PROTEIN
7DB1,TRANSFERASE
6YRB,VIRAL PROTEIN
7CIV,TRANSFERASE
6S7X,NEUROPEPTIDE
6S9F,SIGNALING PROTEIN
6S7Y,NEUROPEPTIDE
7BTG,SIGNALING PROTEIN
7CFB,GENE REGULATION
8AK3,STRUCTURAL PROTEIN
7MFW,CELL ADHESION
7CIX,TRANSFERASE
6TBN,BIOSYNTHETIC PROTEIN
7ZHH,RNA BINDING PROTEIN
8A8Q,TRANSCRIPTION
7DB4,TRANSFERASE
6XRP,HYDROLASE/HYDROLASE INHIBITOR
6K80,TRANSFERASE
8C6H,FLAVOPROTEIN
6Y20,TRANSCRIPTION
8AK2,STRUCTURAL PROTEIN
7QUT,DNA BINDING PROTEIN
7DB3,TRANSFERASE
7CUY,HYDROLASE
8C6C,FLAVOPROTEIN
7DB2,TRANSFERASE
8OIJ,RNA BINDING PROTEIN
7BJS,TRANSPORT PROTEIN
7UVE,TRANSFERASE
6XYS,HYDROLASE
8C6A,FLAVOPROTEIN
7CIW,TRANSFERASE
7CIU,TRANSFERASE
7POK,TRANSCRIPTION
7RL3,"SIGNALING PROTEIN, TRANSFERASE"
8DKT,CELL CYCLE
6Q9M,EXOCYTOSIS
8D7P,TRANSFERASE/CIRCADIAN CLOCK PROTEIN
8DHU,RNA BINDING PROTEIN
6XWV,CELL CYCLE
7PO9,TRANSCRIPTION
6Y6E,RNA BINDING PROTEIN
7AZT,LYASE
8C6F,FLAVOPROTEIN
7PV5,RNA BINDING PROTEIN
6KCP,DNA BINDING PROTEIN/DNA
6VJ9,HYDROLASE/HYDROLASE INHIBITOR
8C69,FLAVOPROTEIN
7DAY,TRANSFERASE
7DAX,TRANSFERASE
7ME5,SIGNALING PROTEIN
7JW6,RNA BINDING PROTEIN
