Reference,Target,Distance,Number of Alpha Carbons in Target,Number of Alpha Carbons in Reference
ref_8spz_ca,target_8CK5_ca,0.7349911862642656,283,251
ref_8spz_ca,target_7OXZ_ca,0.7492286450915674,283,248
ref_8spz_ca,target_7ZFG_ca,0.7517113666327538,283,247
ref_8spz_ca,target_8PZ9_ca,0.7526143071872382,283,246
ref_8spz_ca,target_7OY4_ca,0.7550259866194007,283,258
ref_8spz_ca,target_8CKC_ca,0.7572752240857322,283,249
ref_8spz_ca,target_6XZV_ca,0.7615036859484778,283,238
ref_8spz_ca,target_6XZK_ca,0.7641013646953401,283,240
ref_8spz_ca,target_6XZI_ca,0.7672873132484295,283,247
ref_8spz_ca,target_8PZ7_ca,0.7730553476839741,283,247
ref_8spz_ca,target_7ZFX_ca,0.7793444516895505,283,249
ref_8spz_ca,target_7B39_ca,0.7848329025511425,283,255
ref_8spz_ca,target_7OXU_ca,0.7875291747876455,283,249
ref_8spz_ca,target_7X15_ca,0.7935549052692114,283,251
ref_8spz_ca,target_6XZJ_ca,0.7942023861633749,283,245
ref_8spz_ca,target_7BO6_ca,0.7984940395220103,283,247
ref_8spz_ca,target_6T2M_ca,0.7995001476211927,283,249
ref_8svk_ca,target_8CK5_ca,0.8081509021810259,294,251
ref_8svk_ca,target_7OY4_ca,0.8107535916790306,294,258
ref_8svk_ca,target_7ZFX_ca,0.8118245607989424,294,249
ref_8spz_ca,target_6XZH_ca,0.8123317411082165,283,245
ref_8svk_ca,target_7ZFG_ca,0.8132273237870854,294,247
ref_8svk_ca,target_8CKC_ca,0.8182828436854981,294,249
ref_8svk_ca,target_7B39_ca,0.8215174963940616,294,255
ref_8svk_ca,target_8PZ7_ca,0.8266167541089505,294,247
ref_8svk_ca,target_7OXU_ca,0.8345483367879888,294,249
ref_8svk_ca,target_7OXZ_ca,0.8402687914731716,294,248
ref_8svk_ca,target_8PZ9_ca,0.841878567185427,294,246
ref_8svk_ca,target_6XZI_ca,0.8523875450066424,294,247
ref_8svk_ca,target_6XZK_ca,0.8555956765493656,294,240
ref_8svk_ca,target_7BO6_ca,0.8739156957704919,294,247
ref_8svk_ca,target_6T2M_ca,0.8882217309812542,294,249
ref_8svk_ca,target_6XZJ_ca,0.8888163610568713,294,245
ref_8svk_ca,target_6XZV_ca,0.8952502824848191,294,238
ref_8svk_ca,target_6XZH_ca,0.9369532650836564,294,245
ref_8spz_ca,target_8DIO_ca,0.9543758069656167,283,300
ref_8svk_ca,target_7X15_ca,0.9716695936948727,294,251
ref_8spz_ca,target_6HXV_ca,0.974146378781754,283,333
ref_8spz_ca,target_6HXY_ca,0.9890731404195275,283,301
ref_8spz_ca,target_7AB8_ca,1.0299742608251703,283,311
ref_8svk_ca,target_8DIO_ca,1.0792317216641354,294,300
ref_8spf_ca,target_7FCL_ca,1.10433431673879,422,438
ref_8spz_ca,target_8ADD_ca,1.106776979546039,283,209
ref_8svk_ca,target_6HXV_ca,1.110894462825573,294,333
ref_8svk_ca,target_7AB8_ca,1.1240082729164615,294,311
ref_8svk_ca,target_6PGW_ca,1.129888829906815,294,427
ref_8spz_ca,target_6PGW_ca,1.1353871003031664,283,427
ref_8svk_ca,target_6HXY_ca,1.1374108023311233,294,301
ref_8g1t_ca,target_6JLH_ca,1.1392964698301165,565,531
ref_8spz_ca,target_6V4E_ca,1.1476570154126056,283,204
ref_8spz_ca,target_6V4H_ca,1.161542530113399,283,209
ref_8spf_ca,target_6JLH_ca,1.162505576173314,422,531
ref_8spz_ca,target_7MQY_ca,1.163093992067803,283,370
ref_8svk_ca,target_7BJI_ca,1.1878182316543606,294,349
ref_8spz_ca,target_7MRS_ca,1.1896497999406381,283,366
ref_8svk_ca,target_6THV_ca,1.1985682723205782,294,381
