Reference,Target,Distance,Number of Alpha Carbons in Target,Number of Alpha Carbons in Reference
ref_4IBY_ca,target_6VFQ_ca,0.20684913460662774,427,425
ref_4MXO_ca,target_8HAQ_ca,0.20765019652388736,530,490
ref_6SIP_ca,target_7O3S_ca,0.20858725175479656,260,235
ref_6SIP_ca,target_6SLW_ca,0.20973106918017753,260,245
ref_6RL4_ca,target_7O3S_ca,0.21307230137924604,250,235
ref_6RL4_ca,target_6SLW_ca,0.21579102419799986,250,245
ref_6SI1_ca,target_6VFQ_ca,0.21717842901551207,411,425
ref_4RJL_ca,target_6VFQ_ca,0.22187789031471453,424,425
ref_4F59_ca,target_7TGQ_ca,0.22277112747041922,108,182
ref_1KJZ_ca,target_6VFQ_ca,0.22489436255019207,400,425
ref_4EDW_ca,target_7LG3_ca,0.2318725897886437,535,394
ref_1O43_ca,target_7TGQ_ca,0.23977605633423263,106,182
ref_4IBY_ca,target_7E1T_ca,0.2416065835378684,427,403
ref_1ZNY_ca,target_7TGQ_ca,0.24204827973432422,183,182
ref_6SI1_ca,target_7R5F_ca,0.2433816395427648,411,301
ref_4EDW_ca,target_6UJO_ca,0.2436812225832444,535,384
ref_6SIP_ca,target_7PWT_ca,0.24719496518777873,260,237
ref_4RJL_ca,target_7LG3_ca,0.24776451364975166,424,394
ref_4EDW_ca,target_6WFW_ca,0.24787033683871212,535,491
ref_6SI1_ca,target_6VNV_ca,0.24948246140489042,411,274
ref_4RJL_ca,target_7R5F_ca,0.2495907136609982,424,301
ref_7MDP_ca,target_6WFW_ca,0.24986286450359094,602,491
ref_1ZNY_ca,target_7Y8D_ca,0.25015507003537335,183,151
ref_1KJZ_ca,target_6GWQ_ca,0.2502543097974814,400,475
ref_4IBY_ca,target_6VNV_ca,0.250807668837792,427,274
ref_6RL4_ca,target_7PWT_ca,0.2533094077767395,250,237
ref_4IBY_ca,target_8F1X_ca,0.2541921789153269,427,318
ref_4IBY_ca,target_7R5F_ca,0.2553797947835608,427,301
ref_1O4C_ca,target_7TGQ_ca,0.2576832369386962,104,182
ref_4RJL_ca,target_8UQB_ca,0.25805278863892184,424,408
ref_6SI1_ca,target_7E1T_ca,0.2582395919648892,411,403
ref_4RJL_ca,target_7E1T_ca,0.2584306169587698,424,403
ref_4RJL_ca,target_6UJO_ca,0.25859438490187514,424,384
ref_4RJL_ca,target_8F1X_ca,0.2596848069325275,424,318
ref_4LOF_ca,target_7TGQ_ca,0.2606602608450963,198,182
ref_7MDP_ca,target_7LG3_ca,0.2611816667707638,602,394
ref_4RJL_ca,target_6WFW_ca,0.26172546332784,424,491
ref_6SI1_ca,target_8F1X_ca,0.26347553583433625,411,318
ref_4RJL_ca,target_6VNV_ca,0.26431293529549954,424,274
ref_1GFI_ca,target_7LG3_ca,0.264828234803826,313,394
ref_4RJL_ca,target_6ZUW_ca,0.26554777948738306,424,287
ref_6HTW_ca,target_7QG1_ca,0.2663763997101823,741,544
ref_4CUD_ca,target_7TGQ_ca,0.26733534256743113,122,182
ref_5MHQ_ca,target_6VFQ_ca,0.26744808386621605,296,425
ref_2OH6_ca,target_7TGQ_ca,0.26765381902445917,247,182
ref_3ZYC_ca,target_6UPR_ca,0.2677953997286834,670,543
ref_6SI1_ca,target_7CMR_ca,0.2680536038990907,411,263
ref_3RZV_ca,target_7TGQ_ca,0.26856030920457896,182,182
ref_6HTW_ca,target_8HAQ_ca,0.26920631262453365,741,490
ref_6HTW_ca,target_8OMK_ca,0.26938457776727653,741,600
ref_4EDW_ca,target_6XDB_ca,0.2695143729681506,535,404
ref_7G8E_ca,target_7QG1_ca,0.26995629049771147,457,544
ref_3ZYC_ca,target_7Y9C_ca,0.27019055698797406,670,562
ref_4GNL_ca,target_6S7F_ca,0.27031404180623125,611,523
ref_6TA7_ca,target_8GM5_ca,0.27056021444797024,792,555
ref_1EFC_ca,target_7QG1_ca,0.2710907152192292,772,544
ref_4TMX_ca,target_8IIZ_ca,0.271187762652766,743,525
ref_7MDP_ca,target_8OMK_ca,0.2712728607388258,602,600
ref_4RJL_ca,target_6YUY_ca,0.27182753911350893,424,360
ref_4I6H_ca,target_6VFQ_ca,0.27192901048778806,286,425
ref_1YKR_ca,target_7XHK_ca,0.2721242500367455,298,334
ref_2R3K_ca,target_7BJO_ca,0.27225348693894563,285,257
ref_4TMX_ca,target_7Y9C_ca,0.272453033301738,743,562
ref_6HTW_ca,target_6GWQ_ca,0.2724616384565146,741,475
ref_6HTW_ca,target_6UPR_ca,0.27247540333076287,741,543
ref_1CIP_ca,target_7LG3_ca,0.2729336454954743,316,394
ref_4RJL_ca,target_8E8B_ca,0.27318117017649357,424,436
ref_3U6B_ca,target_7QG1_ca,0.2732062880164567,751,544
ref_4MXO_ca,target_6WFW_ca,0.27354100397636166,530,491
ref_8DGO_ca,target_7Y9C_ca,0.2739158837360981,441,562
ref_4YW9_ca,target_6UPR_ca,0.2739734347866391,643,543
ref_4LOF_ca,target_7KVX_ca,0.2741242399181642,198,181
ref_4GNL_ca,target_6TWA_ca,0.27414682642679555,611,522
ref_2C6I_ca,target_6VFQ_ca,0.27418382218087173,292,425
ref_4ZI2_ca,target_6UPR_ca,0.27427449239222446,621,543
ref_4RJL_ca,target_6XDB_ca,0.27435469246213345,424,404
ref_4IBY_ca,target_6ZUW_ca,0.27457735052408583,427,287
ref_2R3K_ca,target_8HTC_ca,0.2747418252359001,285,290
ref_1KJZ_ca,target_8UQB_ca,0.27474757141387,400,408
ref_1KJZ_ca,target_6VNV_ca,0.2747658334672048,400,274
ref_1KJZ_ca,target_7R5F_ca,0.27485768417812173,400,301
ref_5SZH_ca,target_6JVR_ca,0.27589886074223924,318,305
ref_1O43_ca,target_7KVX_ca,0.2760884847597215,106,181
ref_4RJL_ca,target_7XHK_ca,0.2761814879329331,424,334
ref_7G8E_ca,target_8IIZ_ca,0.27622414788156624,457,525
ref_1ZNY_ca,target_7KVX_ca,0.27636570165170143,183,181
ref_2R3K_ca,target_6VFQ_ca,0.2764136307278889,285,425
ref_4MXO_ca,target_6GWQ_ca,0.2767277529487389,530,475
ref_4LOF_ca,target_8BS5_ca,0.2769111846038094,198,164
ref_3ZYC_ca,target_8G8O_ca,0.2771746653529425,670,558
ref_7ULF_ca,target_7KVX_ca,0.27750529732765183,249,181
ref_4ZI2_ca,target_7Y9C_ca,0.2775726914507875,621,562
ref_1CIP_ca,target_8DHH_ca,0.2778246251445052,316,367
ref_6HTW_ca,target_6XJN_ca,0.27805555226568407,741,417
ref_1KJZ_ca,target_7XHK_ca,0.2782160376199857,400,334
ref_1CIP_ca,target_6XDB_ca,0.27828157746642795,316,404
ref_4EDW_ca,target_7R3O_ca,0.27844169077796804,535,395
ref_4YW9_ca,target_6S7F_ca,0.27844249638087143,643,523
ref_4GNL_ca,target_6UPR_ca,0.27894517298755195,611,543
ref_4MXO_ca,target_8D6D_ca,0.27911726106630036,530,544
ref_1EFC_ca,target_8OMK_ca,0.27917142812156975,772,600
ref_7G8E_ca,target_6GWQ_ca,0.2796282313598791,457,475
ref_4P4U_ca,target_7LG3_ca,0.2797014493859809,349,394
ref_4TMX_ca,target_8OMK_ca,0.279724015713075,743,600
ref_6SI1_ca,target_8UQB_ca,0.279930139974827,411,408
ref_6HTW_ca,target_7Y9C_ca,0.28007639783137805,741,562
ref_2C6I_ca,target_8HTC_ca,0.28016587333720694,292,290
ref_2R3K_ca,target_8F1X_ca,0.28017988786839343,285,318
ref_6TA7_ca,target_6O5Z_ca,0.2802631680593054,792,531
ref_6HTW_ca,target_8G8O_ca,0.2803806421960994,741,558
ref_4IBY_ca,target_8UQB_ca,0.28056762628167853,427,408
ref_1KJZ_ca,target_8F1X_ca,0.28063958296044583,400,318
ref_7VV8_ca,target_6VFQ_ca,0.2807383307017959,250,425
ref_1SVI_ca,target_7TGQ_ca,0.28078032484795434,182,182
ref_4IBY_ca,target_7XHK_ca,0.2808624072726531,427,334
ref_1KJZ_ca,target_6WFW_ca,0.2809681556270982,400,491
ref_1O4C_ca,target_7KVX_ca,0.28122699628173586,104,181
ref_1ZNY_ca,target_6LTK_ca,0.2815426176961947,183,208
ref_4DHE_ca,target_6UPR_ca,0.2815785554796033,399,543
ref_4F59_ca,target_7KVX_ca,0.2816417127735665,108,181
ref_7MDP_ca,target_8HAQ_ca,0.2817200934012215,602,490
ref_6HTW_ca,target_8D6D_ca,0.28181053686668955,741,544
ref_4GNL_ca,target_8IIZ_ca,0.28184083975441077,611,525
ref_4RJL_ca,target_7UAD_ca,0.2822142771724445,424,277
ref_6SI1_ca,target_7XHK_ca,0.2822435272743641,411,334
ref_4IBY_ca,target_6GWQ_ca,0.2824022675593511,427,475
ref_4TMX_ca,target_8D6D_ca,0.28243011365232545,743,544
ref_4YW9_ca,target_6TWA_ca,0.28262227599480116,643,522
ref_4EDW_ca,target_7SH4_ca,0.2826944975115167,535,378
ref_4MXO_ca,target_6UPR_ca,0.28294300240690246,530,543
ref_1KJZ_ca,target_7E1T_ca,0.28296793575213336,400,403
ref_4IBY_ca,target_6WFW_ca,0.28314089489836636,427,491
ref_2GCN_ca,target_7TGQ_ca,0.283229191383114,180,182
ref_4IBY_ca,target_6XDB_ca,0.2832720784690107,427,404
ref_7MDP_ca,target_6UJO_ca,0.28336610645864324,602,384
ref_7ULF_ca,target_7TGQ_ca,0.28342275726317445,249,182
ref_6SI1_ca,target_6WFW_ca,0.28349355757572653,411,491
ref_4EDW_ca,target_7E1T_ca,0.28353178901940024,535,403
ref_7G8E_ca,target_8UQB_ca,0.283613237240123,457,408
ref_4RJL_ca,target_7KP1_ca,0.2836163409202717,424,378
ref_4EDW_ca,target_6VFQ_ca,0.28375473897354225,535,425
ref_6HTW_ca,target_8GM5_ca,0.2839676067943493,741,555
ref_6SI1_ca,target_8HTC_ca,0.2839910016852917,411,290
ref_4YW9_ca,target_8IIZ_ca,0.2840838997087692,643,525
ref_1KJZ_ca,target_8E8B_ca,0.2842121352273293,400,436
ref_4IBY_ca,target_8SKI_ca,0.2843921630354619,427,426
ref_7G8E_ca,target_8E8B_ca,0.2844379405416009,457,436
ref_2R3K_ca,target_7XHK_ca,0.2844915691373363,285,334
ref_4RJL_ca,target_8SKI_ca,0.2846062097082488,424,426
ref_6HTW_ca,target_7ULU_ca,0.284672272002406,741,550
ref_3RAH_ca,target_8HTC_ca,0.2849845237027968,282,290
ref_4RJL_ca,target_6GWQ_ca,0.2852218327360873,424,475
ref_4P4U_ca,target_7UAD_ca,0.2852263628442444,349,277
ref_5SZH_ca,target_7AXF_ca,0.28527529799635987,318,267
ref_1GFI_ca,target_7E1T_ca,0.28535056756811306,313,403
ref_4EDW_ca,target_8E8B_ca,0.285367297399122,535,436
ref_4IBY_ca,target_7ZC9_ca,0.2853794989648142,427,392
ref_4IBY_ca,target_7LG3_ca,0.2854757628621804,427,394
ref_4YW9_ca,target_8OMK_ca,0.28558093424001096,643,600
ref_4IBY_ca,target_6UJO_ca,0.2857052151374472,427,384
ref_3QZI_ca,target_7XHK_ca,0.2858326177984067,294,334
ref_7ZPC_ca,target_6VFQ_ca,0.28592028647843015,303,425
ref_4TMX_ca,target_8G8O_ca,0.2860124415129956,743,558
ref_4EDW_ca,target_6YYK_ca,0.2860990050784209,535,318
ref_3SW7_ca,target_6VFQ_ca,0.2861751434684885,283,425
ref_6HTW_ca,target_6WFW_ca,0.2863259933357778,741,491
ref_6SI1_ca,target_6ZUW_ca,0.28645066029206784,411,287
ref_1KJZ_ca,target_7BJO_ca,0.2865529482834728,400,257
ref_4TMX_ca,target_8D6F_ca,0.28673042860314496,743,542
ref_4MXO_ca,target_6S7F_ca,0.28686338815359047,530,523
ref_1KJZ_ca,target_6ZUW_ca,0.28689360176116735,400,287
ref_4ZI2_ca,target_8HAQ_ca,0.2868969083487517,621,490
ref_6RVN_ca,target_8E8B_ca,0.2869040721162703,308,436
ref_3QZI_ca,target_6VFQ_ca,0.2869555190425591,294,425
ref_1GFI_ca,target_6XDB_ca,0.2870574605018467,313,404
ref_1ZNY_ca,target_6JVR_ca,0.28713366049676226,183,305
ref_6SI1_ca,target_6X5Q_ca,0.28722116627067634,411,284
ref_5TX4_ca,target_7TGQ_ca,0.28726947640566,199,182
ref_1GFI_ca,target_6UJO_ca,0.28744454222230376,313,384
ref_3RAH_ca,target_6VFQ_ca,0.2875103089189467,282,425
ref_1SVI_ca,target_7KVX_ca,0.287513237581017,182,181
ref_1CIP_ca,target_8E8B_ca,0.2875251174656172,316,436
ref_8DGO_ca,target_6GWQ_ca,0.28774104056001826,441,475
ref_7UG1_ca,target_6JVR_ca,0.2877819459354798,292,305
ref_7MDP_ca,target_7QG1_ca,0.2878004907350489,602,544
ref_4I6H_ca,target_8X72_ca,0.28787531298352975,286,294
ref_1KJZ_ca,target_6UPR_ca,0.28793041001839104,400,543
ref_6HTW_ca,target_7SVB_ca,0.2880247647116513,741,555
ref_6HTW_ca,target_7ZC9_ca,0.28804609041697826,741,392
ref_4RJL_ca,target_7F2X_ca,0.288079624359494,424,303
ref_6HTW_ca,target_6XDB_ca,0.2881320928286643,741,404
ref_4RJL_ca,target_7ZC9_ca,0.2881943676201065,424,392
ref_1KJZ_ca,target_6S7F_ca,0.28819649801794417,400,523
ref_1GFI_ca,target_6VFQ_ca,0.2882020685030193,313,425
ref_3ZYC_ca,target_7K2R_ca,0.28833409491826373,670,581
ref_7G8E_ca,target_8DHH_ca,0.28842447983216146,457,367
ref_3U6B_ca,target_6O5Z_ca,0.2884478607680319,751,531
ref_8JCA_ca,target_7LG3_ca,0.28846601101643116,329,394
ref_1KJZ_ca,target_8SKI_ca,0.2885704124762322,400,426
ref_4RJL_ca,target_8DHH_ca,0.2886361935696428,424,367
ref_4RJL_ca,target_6S7F_ca,0.2888018993686068,424,523
ref_5MHQ_ca,target_7XHK_ca,0.2888026304806983,296,334
ref_4EDW_ca,target_7KP1_ca,0.2888298915211892,535,378
ref_6HTW_ca,target_8E8B_ca,0.2888375576575503,741,436
ref_4MXO_ca,target_8D6F_ca,0.2888987397646307,530,542
ref_2R3K_ca,target_6VNV_ca,0.2889617546398161,285,274
ref_1M7B_ca,target_7TGQ_ca,0.28908791941798234,179,182
ref_4IBY_ca,target_8E8B_ca,0.28912821305305486,427,436
ref_1CIP_ca,target_7E1T_ca,0.2892201641531752,316,403
ref_7VV8_ca,target_7R5F_ca,0.28928292935548633,250,301
ref_4IBY_ca,target_7CMR_ca,0.28930302279287373,427,263
ref_6HTW_ca,target_8IIZ_ca,0.2893126415039311,741,525
ref_4RJL_ca,target_7JO7_ca,0.28934331449568806,424,367
ref_2R3K_ca,target_7R5F_ca,0.289379143143112,285,301
ref_8JCA_ca,target_6VFQ_ca,0.2894631865726458,329,425
ref_5VBZ_ca,target_7E1T_ca,0.2894764077525711,483,403
ref_2OH6_ca,target_6JVR_ca,0.28953434297760644,247,305
ref_4YW9_ca,target_7QG1_ca,0.2895628317060008,643,544
ref_4TMX_ca,target_6GWQ_ca,0.2895812054401608,743,475
ref_1YKR_ca,target_7F2X_ca,0.2895869731004525,298,303
ref_6HTW_ca,target_6S7F_ca,0.28962000801616544,741,523
ref_4P4U_ca,target_8E8B_ca,0.28976450019175504,349,436
ref_3ZYC_ca,target_7SVB_ca,0.2897977608584165,670,555
ref_2C6I_ca,target_7R5F_ca,0.2898593260293844,292,301
ref_6TA7_ca,target_8D6F_ca,0.2898895881351442,792,542
ref_8JCA_ca,target_6XJN_ca,0.2898929114263439,329,417
ref_1EFC_ca,target_8SWE_ca,0.2898972469838933,772,574
ref_1YKR_ca,target_6VFQ_ca,0.289901234085478,298,425
ref_7MDP_ca,target_8D6D_ca,0.28995815368143396,602,544
ref_4EDW_ca,target_6YUY_ca,0.2900225975876991,535,360
ref_6HTW_ca,target_8D6F_ca,0.2902319557244194,741,542
ref_7MDP_ca,target_8GM5_ca,0.29026849117422376,602,555
ref_5SZH_ca,target_7E1T_ca,0.29036536030073873,318,403
ref_3U6B_ca,target_8OMK_ca,0.29047423656559945,751,600
ref_6T5V_ca,target_6LTK_ca,0.29052623365164437,171,208
ref_4RJL_ca,target_7MNU_ca,0.2907684894704938,424,243
ref_3ZYC_ca,target_6GWQ_ca,0.29095350804989345,670,475
ref_4RJL_ca,target_6XI4_ca,0.29100850607082235,424,408
ref_4EDW_ca,target_8GM5_ca,0.29104733957804174,535,555
ref_7ULF_ca,target_8F1X_ca,0.2911149789800766,249,318
ref_6HTW_ca,target_8UQB_ca,0.29119164284894383,741,408
ref_1ZNY_ca,target_8BS5_ca,0.2912142275127682,183,164
ref_8DGO_ca,target_6VFQ_ca,0.2913542706337721,441,425
ref_4TMX_ca,target_6UPR_ca,0.2913849223264398,743,543
ref_4EDW_ca,target_6ZUW_ca,0.2914134586038753,535,287
ref_8JCA_ca,target_8UQB_ca,0.29144040092057416,329,408
ref_1EFC_ca,target_6O5Z_ca,0.29160820408326943,772,531
ref_4MXO_ca,target_8G8O_ca,0.29168171637254847,530,558
ref_4ZI2_ca,target_6S7F_ca,0.29168680309056727,621,523
ref_6HTW_ca,target_8DHH_ca,0.291727818476584,741,367
ref_4TMX_ca,target_6S7F_ca,0.2917736451450279,743,523
ref_4I6H_ca,target_7ZC9_ca,0.29179133229356663,286,392
ref_1YKR_ca,target_7BJO_ca,0.29183132315475474,298,257
ref_1EFC_ca,target_8G8O_ca,0.2918405476319105,772,558
ref_6HTW_ca,target_6TWA_ca,0.29190526824798085,741,522
ref_4DHE_ca,target_6GWQ_ca,0.2919114917730732,399,475
ref_5SZH_ca,target_7KP1_ca,0.29198221409951497,318,378
ref_2GF0_ca,target_7K2R_ca,0.2919886736773673,698,581
ref_4MXO_ca,target_6TFW_ca,0.2922080079621172,530,530
ref_4IBY_ca,target_8HAQ_ca,0.29229936937422024,427,490
ref_1KE8_ca,target_8K71_ca,0.29239041575100916,282,340
ref_6SI1_ca,target_8SKI_ca,0.29243495383368695,411,426
ref_6TA7_ca,target_8OMK_ca,0.2925223725594174,792,600
ref_7ULF_ca,target_7R5F_ca,0.2925543975540242,249,301
ref_3U6B_ca,target_8G8O_ca,0.29269459358728034,751,558
ref_4YW9_ca,target_7Y9C_ca,0.29272444835617134,643,562
ref_4ZI2_ca,target_8GM5_ca,0.29287830888866667,621,555
ref_7G8E_ca,target_8OMK_ca,0.29290332404858815,457,600
ref_5QQM_ca,target_8E8B_ca,0.2929622441416949,356,436
ref_3U6B_ca,target_7ULU_ca,0.292976034855429,751,550
ref_6SI1_ca,target_7MNU_ca,0.2929945214238949,411,243
ref_4LOF_ca,target_6JVR_ca,0.29303134310979156,198,305
ref_4GCJ_ca,target_8HTC_ca,0.29310440794303794,304,290
ref_6RVN_ca,target_6PYO_ca,0.2931197057161346,308,318
ref_5SZH_ca,target_8F1X_ca,0.29319479944006455,318,318
ref_6SI1_ca,target_7MIC_ca,0.29320602187549116,411,220
ref_4ZI2_ca,target_8D6D_ca,0.29324779532560247,621,544
ref_6HTW_ca,target_6ULV_ca,0.293293161491497,741,455
ref_1KJZ_ca,target_8HAQ_ca,0.2933637205000053,400,490
ref_7UG1_ca,target_7R5F_ca,0.293474156987625,292,301
ref_3RAH_ca,target_7BJO_ca,0.2934984196564491,282,257
ref_7UG1_ca,target_6VFQ_ca,0.29349990212046295,292,425
ref_4MXO_ca,target_6VFQ_ca,0.2935143549735073,530,425
ref_8DGO_ca,target_7SVB_ca,0.29367528782021585,441,555
ref_4DHE_ca,target_7Y9C_ca,0.29371088579070265,399,562
