Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
7O3S,,250,6RL4,PEPTIDE BINDING PROTEIN,235,0.3651398612974785
7O3S,,260,6SIP,PEPTIDE BINDING PROTEIN,235,0.3792264569947726
6SLW,,250,6RL4,PEPTIDE BINDING PROTEIN,245,0.4121277119652692
6SLW,,260,6SIP,PEPTIDE BINDING PROTEIN,245,0.4122059001086737
7PWT,,260,6SIP,PEPTIDE BINDING PROTEIN,237,0.5463327260342532
7PWT,,250,6RL4,PEPTIDE BINDING PROTEIN,237,0.5557873101867699
6PGW,,400,1KJZ,TRANSLATION,427,0.5650797278683989
6PGW,,424,4RJL,TRANSLATION,427,0.5809058263742516
6WFW,,535,4EDW,IMMUNE SYSTEM,491,0.5819002694475806
8HAQ,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,490,0.5943893238335939
6VFQ,,424,4RJL,TRANSLATION,425,0.600707883026895
4IRR,,643,4YW9,LYASE,589,0.6031430846257767
6PGW,,427,4IBY,DNA BINDING PROTEIN,427,0.605275246861575
4IRR,,611,4GNL,LYASE,589,0.6122575583969927
6VFQ,,400,1KJZ,TRANSLATION,425,0.6158944733014586
1D4X,,483,5VBZ,HYDROLASE,492,0.6188574775596369
6UJO,,400,1KJZ,TRANSLATION,384,0.620266735407744
7ULU,,643,4YW9,LYASE,550,0.6211653817632103
6GWQ,,535,4EDW,IMMUNE SYSTEM,475,0.6247232935873521
7LG3,,400,1KJZ,TRANSLATION,394,0.6288856371601512
7XHK,,329,8JCA,PROTEIN BINDING,334,0.6289787637809924
7KHG,,329,8JCA,PROTEIN BINDING,329,0.6309925138583367
7ULU,,611,4GNL,LYASE,550,0.6359661090543457
8AK3,,296,5MHQ,CELL CYCLE/INHIBITOR,298,0.6405053140325304
6VFQ,,427,4IBY,DNA BINDING PROTEIN,425,0.6419499193806645
6ZW1,,424,4RJL,TRANSLATION,380,0.6422707739288888
8AK3,,303,7ZPC,CELL CYCLE,298,0.6426696203226275
8AK3,,292,7UG1,CELL CYCLE,298,0.6429707929951963
8AK3,,292,2C6I,TRANSFERASE,298,0.6440147091611895
6PYO,,308,6RVN,CELL CYCLE,318,0.6440481133186783
8X72,,303,7ZPC,CELL CYCLE,294,0.6462138107168655
6WYP,,424,4RJL,TRANSLATION,358,0.6462640757121277
8PBR,,424,4RJL,TRANSLATION,370,0.6474054920383528
7NYQ,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,566,0.651043481455128
1D4X,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,492,0.6511497290892845
6V7A,,424,4RJL,TRANSLATION,357,0.6515678581298524
8BJK,,424,4RJL,TRANSLATION,366,0.6521842334836568
8AK2,,285,2R3K,TRANSFERASE,294,0.6531082849095741
8BOK,,285,2R3K,TRANSFERASE,282,0.6541624401642677
6XJN,,399,4DHE,CELL CYCLE,417,0.6548479469102026
8AK2,,303,7ZPC,CELL CYCLE,294,0.6559218971368213
6THV,,424,4RJL,TRANSLATION,381,0.6562116317588351
6TWA,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,522,0.6595716053892149
7BJO,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,257,0.6598157614502194
8X72,,285,2R3K,TRANSFERASE,294,0.6599178134925916
7UK2,,424,4RJL,TRANSLATION,362,0.6600472692009476
6ELK,,457,7G8E,CYTOSOLIC PROTEIN,392,0.660097705796058
1D4X,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,492,0.6602554141470456
8F1X,,292,2C6I,TRANSFERASE,318,0.6642244077097236
6PZS,,424,4RJL,TRANSLATION,362,0.6643154925417581
7UAD,,329,8JCA,PROTEIN BINDING,277,0.664555348999608
8AK2,,292,7UG1,CELL CYCLE,294,0.6646016786227916
8IIZ,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,525,0.6646417838325751
6YUY,,427,4IBY,DNA BINDING PROTEIN,360,0.6653666182472494
6VNV,,285,2R3K,TRANSFERASE,274,0.6668066767071433
7LG3,,424,4RJL,TRANSLATION,394,0.667527644705413
8AK2,,296,5MHQ,CELL CYCLE/INHIBITOR,294,0.6680734078431005
8F1X,,296,5MHQ,CELL CYCLE/INHIBITOR,318,0.6687710006702036
8F1X,,298,1YKR,TRANSFERASE,318,0.6695927067721538
6YUY,,424,4RJL,TRANSLATION,360,0.670360528678123
6S7F,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,523,0.6707885483473596
8X72,,296,5MHQ,CELL CYCLE/INHIBITOR,294,0.6709708097782437
8D6D,,483,5VBZ,HYDROLASE,544,0.6746659070138369
8F1X,,303,7ZPC,CELL CYCLE,318,0.6748479623254393
8D6D,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,544,0.6749165465120992
8DHH,,424,4RJL,TRANSLATION,367,0.6750211341235381
6XYS,,643,4YW9,LYASE,537,0.6752720306306262
7ULU,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,550,0.6757813333801734
6XI4,,424,4RJL,TRANSLATION,408,0.676629966571978
8G1Z,,424,4RJL,TRANSLATION,359,0.6767917524878313
8X72,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6776337681471403
8F1X,,292,7UG1,CELL CYCLE,318,0.6787345561797216
8UQB,,400,1KJZ,TRANSLATION,408,0.6789073528676306
8BOK,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.6791295236935878
7R5F,,303,7ZPC,CELL CYCLE,301,0.6791481372282442
7LG3,,427,4IBY,DNA BINDING PROTEIN,394,0.6791948110599643
6XYS,,611,4GNL,LYASE,537,0.6807238741773011
8X72,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6809091121424987
8AK3,,298,1YKR,TRANSFERASE,298,0.6810460120327466
8F1X,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.6815363710569918
8X72,,282,1KE8,TRANSFERASE,294,0.6823473395428364
6QQ4,,260,6SIP,PEPTIDE BINDING PROTEIN,243,0.682492039830204
6QQ4,,250,6RL4,PEPTIDE BINDING PROTEIN,243,0.6828222127577166
7BJO,,250,7VV8,CELL CYCLE,257,0.6828413446061502
6YUY,,400,1KJZ,TRANSLATION,360,0.683305021402082
3N9N,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,501,0.6833170019139095
8BOK,,303,7ZPC,CELL CYCLE,282,0.68374541936668
8SWE,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,574,0.6837984804424693
7QG1,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,544,0.6846172146470149
8UQB,,424,4RJL,TRANSLATION,408,0.68468802270859
6UJO,,427,4IBY,DNA BINDING PROTEIN,384,0.684848767853798
7BJO,,285,2R3K,TRANSFERASE,257,0.6850354825962591
6VNV,,292,7UG1,CELL CYCLE,274,0.6853214614799035
8D6D,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,544,0.6860807771094822
6UJO,,424,4RJL,TRANSLATION,384,0.6861195675849654
7KVX,,172,8QUG,TRANSFERASE,181,0.6878110196170669
6UPR,,483,5VBZ,HYDROLASE,543,0.687970335155383
6X5Q,,292,7UG1,CELL CYCLE,284,0.6880013700868034
