Reference,Target,Distance,Number of Alpha Carbons in Target,Number of Alpha Carbons in Reference
ref_8svk_ca,target_Trichoplax__adhaerens_CRCL_1_filtered_Ca,0.267293080220502,294,175
ref_8svk_ca,target_Stylophora_pistillata_CRCL_2_filtered_Ca,0.2691527424728709,294,175
ref_8svk_ca,target_Nematostella_vectensis_CRCL_6_filtered_Ca,0.2794284276009855,294,165
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_8_filtered_Ca,0.28081214334519194,294,160
ref_8svk_ca,target_Gallus_gallus_CRCL_6_filtered_Ca,0.2825580009384142,294,181
ref_8svk_ca,target_Pleurobrachia_pileus_CRCL_1_filtered_Ca,0.28401529917354273,294,194
ref_8svk_ca,target_Homo_sapiens_CRCL_7_filtered_Ca,0.2841351833503883,294,168
ref_8spz_ca,target_Pleurobrachia_pileus_CRCL_1_filtered_Ca,0.28699845316801326,283,194
ref_8svk_ca,target_Danio_rerio_CRCL_9_filtered_Ca,0.29129681118514983,294,165
ref_8spz_ca,target_Stylophora_pistillata_CRCL_2_filtered_Ca,0.29146553632610545,283,175
ref_8svk_ca,target_Mus_musculus_CRCL_1_filtered_Ca,0.2915335262861821,294,165
ref_8svk_ca,target_Homo_sapiens_CRCL_6_filtered_Ca,0.29185080860731605,294,169
ref_8svk_ca,target_Haliclona_tubifera_CRCL_1_filtered_Ca,0.2928620273391619,294,156
ref_8spz_ca,target_Trichoplax__adhaerens_CRCL_1_filtered_Ca,0.2938801622176782,283,175
ref_8svk_ca,target_Stylophora_pistillata_CRCL_9_filtered_Ca,0.29480709807515276,294,166
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_1_filtered_Ca,0.2980168633845763,294,179
ref_8spz_ca,target_Homo_sapiens_CRCL_7_filtered_Ca,0.29834114233642006,283,168
ref_8spz_ca,target_Mus_musculus_CRCL_1_filtered_Ca,0.2987769625857403,283,165
ref_8svk_ca,target_Pocillopora_damicornis_CRCL_1_all_Ca,0.2992040840287153,294,184
ref_8svk_ca,target_Stylophora_pistillata_CRCL_8_all_Ca,0.30114960426737375,294,184
ref_8spz_ca,target_Gallus_gallus_CRCL_6_filtered_Ca,0.30164813590436734,283,181
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca,0.30186382914950655,294,151
ref_8svk_ca,target_Amphimedon_queenslandica_CRCL_7_filtered_Ca,0.3020734625506078,294,160
ref_8svk_ca,target_Trichoplax_adhaerens_CRCL_1_filtered_Ca,0.3036132330147644,294,167
ref_8spz_ca,target_Xenopus_tropicalis_CRCL_1_filtered_Ca,0.3052802086865619,283,179
ref_8spz_ca,target_Xenopus_tropicalis_CRCL_8_filtered_Ca,0.30760631834331564,283,160
ref_8svk_ca,target_Suberites_domuncula_CRCL_2_filtered_Ca,0.30811952560485656,294,153
ref_8spz_ca,target_Stylophora_pistillata_CRCL_9_filtered_Ca,0.30821391225627043,283,166
ref_8svk_ca,target_Acropora_millepora_CRCL_1_filtered_Ca,0.31008253935034996,294,165
ref_8svk_ca,target_Halisarca_caerulea_CRCL_3_filtered_Ca,0.31129446734428573,294,181
ref_8spz_ca,target_Acropora_millepora_CRCL_1_filtered_Ca,0.31143686120264347,283,165
ref_8spz_ca,target_Beroe_ovata_CRCL_1_filtered_Ca,0.31388041226269087,283,167
ref_8svk_ca,target_Beroe_ovata_CRCL_1_filtered_Ca,0.31492804574117034,294,167
ref_8svk_ca,target_Gallus_gallus_CRCL_1_filtered_Ca,0.3153767043075014,294,160
ref_8spz_ca,target_Pocillopora_damicornis_CRCL_1_all_Ca,0.3154617258598798,283,184
ref_8svk_ca,target_Amphimedon_queenslandica_CRCL_6_filtered_Ca,0.3155032460276648,294,155
ref_8svk_ca,target_Gallus_gallus_CRCL_7_all_Ca,0.31561380668364963,294,174
ref_8svk_ca,target_Nematostella_vectensis_CRCL_5_filtered_Ca,0.316135513361623,294,136
ref_8spz_ca,target_Hormiphora_californensis_CRCL_1_filtered_Ca,0.317396220304729,283,170
ref_8spz_ca,target_Danio_rerio_CRCL_9_filtered_Ca,0.31770210697615575,283,165
ref_8spz_ca,target_Stylophora_pistillata_CRCL_8_all_Ca,0.31818312743928284,283,184
ref_8spz_ca,target_Nematostella_vectensis_CRCL_6_filtered_Ca,0.3188838787217702,283,165
ref_8svk_ca,target_Amphimedon_queenslandica_CRCL_8_filtered_Ca,0.31929364874542965,294,133
ref_8spz_ca,target_Trichoplax_adhaerens_CRCL_1_filtered_Ca,0.3192955329903105,283,167
ref_8svk_ca,target_Homo_sapiens_CRCL_1_filtered_Ca,0.31980889502600224,294,160
ref_8svk_ca,target_Stylophora_pistillata_CRCL_7_filtered_Ca,0.32009600971754304,294,159
ref_8spz_ca,target_Homo_sapiens_CRCL_1_filtered_Ca,0.3215095847056527,283,160
ref_8spz_ca,target_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca,0.3216714774624523,283,151
ref_8svk_ca,target_Stylophora_pistillata_CRCL_1_filtered_Ca,0.3224193793568283,294,163
ref_8svk_ca,target_Homo_sapiens_CRCL_10_filtered_Ca,0.32249421760290975,294,204
ref_8svk_ca,target_Haliclona_tubifera_CRCL_3_filtered_Ca,0.32274018103973146,294,164
ref_8spz_ca,target_Danio_rerio_CRCL_7_filtered_Ca,0.32317390352818803,283,146
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_7_filtered_Ca,0.3233216955494115,294,154
ref_8svk_ca,target_Ephydatia_muelleri_CRCL_2_filtered_Ca,0.32443247052364094,294,163
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_7_filtered_Ca,0.3250598425973564,294,170
ref_8spz_ca,target_Strongylocentrotus_purpuratus_CRCL_8_filtered_Ca,0.32572155695326277,283,140
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_2_filtered_Ca,0.3260628229113998,294,133
ref_8spz_ca,target_Stylophora_pistillata_CRCL_7_filtered_Ca,0.32731377501330744,283,159
ref_8spz_ca,target_Nematostella_vectensis_CRCL_5_filtered_Ca,0.32742379457407483,283,136
ref_8spz_ca,target_Homo_sapiens_CRCL_6_filtered_Ca,0.3277890235217682,283,169
ref_8svk_ca,target_Mnemiopsis_leidyi_CRCL_1_filtered_Ca,0.3280437819207824,294,180
ref_8spz_ca,target_Amphimedon_queenslandica_CRCL_6_filtered_Ca,0.32804399654844413,283,155
ref_8spz_ca,target_Amphimedon_queenslandica_CRCL_7_filtered_Ca,0.32812518801412793,283,160
ref_8svk_ca,target_Haliclona_tubifera_CRCL_5_filtered_Ca,0.32844424805727745,294,172
ref_8svk_ca,target_Trichoplax_adhaerens_CRCL_2_filtered_Ca,0.3292029450791305,294,136
ref_8svk_ca,target_Hormiphora_californensis_CRCL_1_filtered_Ca,0.33007470442317305,294,170
ref_8svk_ca,target_Orbicella_faveolata_CRCL_1_filtered_Ca,0.33055905041250333,294,164
ref_8spz_ca,target_Gallus_gallus_CRCL_7_all_Ca,0.3310443682938466,283,174
ref_8spz_ca,target_Mnemiopsis_leidyi_CRCL_1_filtered_Ca,0.33198443718305176,283,180
ref_8svk_ca,target_Nematostella_vectensis_CRCL_2_filtered_Ca,0.3323693357392658,294,148
ref_8spz_ca,target_Suberites_domuncula_CRCL_2_filtered_Ca,0.33243335806501434,283,153
ref_8svk_ca,target_Danio_rerio_CRCL_2_filtered_Ca,0.3327672670272068,294,163
ref_8svk_ca,target_Haliclona_tubifera_CRCL_4_filtered_Ca,0.3328633630473955,294,172
ref_8svk_ca,target_Stylophora_pistillata_CRCL_3_filtered_Ca,0.33288085465973455,294,162
ref_8spz_ca,target_Orbicella_faveolata_CRCL_1_filtered_Ca,0.33335151921909273,283,164
ref_8spz_ca,target_Xenopus_tropicalis_CRCL_7_filtered_Ca,0.33393583044279423,283,170
ref_8spz_ca,target_Amphimedon_queenslandica_CRCL_8_filtered_Ca,0.3349457737217118,283,133
ref_8svk_ca,target_Lubomirskia_baicalensis_CRCL_1_filtered_Ca,0.3350491568196944,294,144
ref_8spz_ca,target_Lubomirskia_baicalensis_CRCL_1_filtered_Ca,0.33512748538495973,283,144
ref_8spz_ca,target_Stylophora_pistillata_CRCL_1_filtered_Ca,0.3353763228563768,283,163
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_9_all_Ca,0.33556551408172675,294,198
ref_8svk_ca,target_Haliclona_tubifera_CRCL_2_filtered_Ca,0.3358608977958995,294,156
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_4_filtered_Ca,0.3361302797404206,294,152
ref_8spz_ca,target_Homo_sapiens_CRCL_10_filtered_Ca,0.3366820097018292,283,204
ref_8svk_ca,target_Hydra_vulgaris_CRCL_3_filtered_Ca,0.3368046673356066,294,164
ref_8spz_ca,target_Xenopus_tropicalis_CRCL_9_all_Ca,0.33711064514472794,283,198
ref_8spz_ca,target_Strongylocentrotus_purpuratus_CRCL_2_filtered_Ca,0.3378583883494262,283,133
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_8_filtered_Ca,0.33809964304182394,294,140
ref_8svk_ca,target_Stylophora_pistillata_CRCL_5_filtered_Ca,0.3389092084298859,294,139
ref_8svk_ca,target_Amphimedon_queenslandica_CRCL_2_filtered_Ca,0.33942509238583096,294,155
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_4_filtered_Ca,0.34049459071583454,294,146
ref_8spz_ca,target_Danio_rerio_CRCL_6_filtered_Ca,0.340610101271037,283,162
ref_8spz_ca,target_Acropora_digitifera_CRCL_1_filtered_Ca,0.34063643947936034,283,150
ref_8svk_ca,target_Homo_sapiens_CRCL_4_filtered_Ca,0.3407968864243666,294,158
ref_8svk_ca,target_Strongylocentrotus_purpuratus_CRCL_3_filtered_Ca,0.3410607251004346,294,141
ref_8svk_ca,target_Halisarca_caerulea_CRCL_2_filtered_Ca,0.34120428266108244,294,139
ref_8spz_ca,target_Amphimedon_queenslandica_CRCL_2_filtered_Ca,0.3422463925750788,283,155
ref_8spz_ca,target_Danio_rerio_CRCL_1_filtered_Ca,0.3423336362723459,283,148
ref_8spz_ca,target_Acropora_millepora_CRCL_2_filtered_Ca,0.34260493359335553,283,147
ref_8svk_ca,target_Danio_rerio_CRCL_6_filtered_Ca,0.34295362373790805,294,162
ref_8spz_ca,target_Amphimedon_queenslandica_CRCL_3_filtered_Ca,0.3430828616816306,283,144
ref_8spz_ca,target_Nematostella_vectensis_CRCL_3_filtered_Ca,0.3436188534573503,283,148
ref_8spz_ca,target_Nematostella_vectensis_CRCL_2_filtered_Ca,0.343829652701509,283,148
ref_8spz_ca,target_Danio_rerio_CRCL_2_filtered_Ca,0.3438915514081254,283,163
ref_8spz_ca,target_Gallus_gallus_CRCL_1_filtered_Ca,0.34407413934083503,283,160
ref_8svk_ca,target_Xenopus_tropicalis_CRCL_5_filtered_Ca,0.34413921192804137,294,139
