Reference,Target,Distance,Number of Alpha Carbons in Target,Number of Alpha Carbons in Reference
ref_8spz_ca,target_6ELK_ca,0.3389588927349121,283,392
ref_8spz_ca,target_3K6J_ca,0.34306869370879756,283,431
ref_8svk_ca,target_1D4X_ca,0.34417187418895256,294,492
ref_8svk_ca,target_6ELK_ca,0.35172666328186813,294,392
ref_8spz_ca,target_1D4X_ca,0.35355705692285067,283,492
ref_8svk_ca,target_3K6J_ca,0.35943937550584637,294,431
ref_8spz_ca,target_3N9Q_ca,0.36353574476681816,283,496
ref_8spz_ca,target_3N9N_ca,0.3722226183907875,283,501
ref_8spz_ca,target_3N9O_ca,0.3754762014145313,283,495
ref_8spz_ca,target_3N9P_ca,0.3765609258842508,283,501
ref_8svk_ca,target_3N9Q_ca,0.38465961988038144,294,496
ref_8spz_ca,target_1ZL9_ca,0.38847911689999537,283,414
ref_8svk_ca,target_3N9N_ca,0.3930423395424209,294,501
ref_8spz_ca,target_4JND_ca,0.39692650044593253,283,412
ref_8svk_ca,target_3N9P_ca,0.40183934053903614,294,501
ref_8svk_ca,target_4JND_ca,0.4057294566072184,294,412
ref_8svk_ca,target_3N9O_ca,0.4093312773148649,294,495
ref_8g1t_ca,target_3N9P_ca,0.42305688115847323,565,501
ref_8svk_ca,target_1ZL9_ca,0.43458501882342737,294,414
ref_8g1t_ca,target_4IRR_ca,0.43714829964567864,565,589
ref_8spf_ca,target_3K6J_ca,0.43756087553109885,422,431
ref_8spf_ca,target_1D4X_ca,0.4399300837690326,422,492
ref_8g1t_ca,target_3N9O_ca,0.44070937403695787,565,495
ref_8g1t_ca,target_3N9N_ca,0.4430611837363425,565,501
ref_8g1t_ca,target_3K6J_ca,0.44554834052895476,565,431
ref_8spf_ca,target_4JND_ca,0.4476103426224322,422,412
ref_8g1t_ca,target_3N9Q_ca,0.44868779627974464,565,496
ref_8g1t_ca,target_4JND_ca,0.4536110983733206,565,412
ref_8g1t_ca,target_1D4X_ca,0.45519317072067833,565,492
ref_8spf_ca,target_3N9N_ca,0.4721039747205795,422,501
ref_8spf_ca,target_3N9P_ca,0.47461979700096824,422,501
ref_8spf_ca,target_3N9Q_ca,0.47465673472246195,422,496
ref_8spz_ca,target_4IRR_ca,0.47633147010818466,283,589
ref_8spf_ca,target_1ZL9_ca,0.47894909232696126,422,414
ref_8spf_ca,target_3N9O_ca,0.483931394327652,422,495
ref_8spf_ca,target_6ELK_ca,0.48465010380232537,422,392
ref_8svk_ca,target_4IRR_ca,0.4889370487127259,294,589
ref_8g1t_ca,target_6ELK_ca,0.5053079178883686,565,392
ref_8g1t_ca,target_1ZL9_ca,0.5157655812237161,565,414
ref_8spf_ca,target_4IRR_ca,0.5258896292812131,422,589
ref_8spe_ca,target_4IRR_ca,0.8328147079022902,2453,589
ref_8spe_ca,target_3N9P_ca,0.8796845018309505,2453,501
ref_8spe_ca,target_3N9O_ca,0.8819826732037338,2453,495
ref_8spe_ca,target_3N9N_ca,0.8821476012008256,2453,501
ref_8spe_ca,target_1D4X_ca,0.887737443245729,2453,492
ref_8spe_ca,target_3N9Q_ca,0.8898873526703391,2453,496
ref_8spe_ca,target_3K6J_ca,0.9042468800716016,2453,431
ref_8spe_ca,target_4JND_ca,0.9130489338298329,2453,412
ref_8spe_ca,target_1ZL9_ca,0.9244772781843826,2453,414
ref_8spe_ca,target_6ELK_ca,0.9443170236964934,2453,392
