Reference,Target,Distance,Number of Alpha Carbons in Target,Number of Alpha Carbons in Reference
ref_8spz_ca,target_7R5F_ca,0.23992928460068982,283,301
ref_8spz_ca,target_8F1X_ca,0.2525353060496871,283,318
ref_8svk_ca,target_8CIH_ca,0.26774300580580884,294,362
ref_8svk_ca,target_7R5F_ca,0.2708647632738401,294,301
ref_8spz_ca,target_6VNV_ca,0.2745331406544464,283,274
ref_8spz_ca,target_7CMR_ca,0.27569457103286654,283,263
ref_8spz_ca,target_7F2X_ca,0.2787270435420589,283,303
ref_8spz_ca,target_7XHK_ca,0.2811506957172044,283,334
ref_8svk_ca,target_7MIC_ca,0.28234995668118146,294,220
ref_8svk_ca,target_8F1X_ca,0.2866585056797477,294,318
ref_8spz_ca,target_8SKI_ca,0.2870549812466265,283,426
ref_8svk_ca,target_8E8B_ca,0.287183794482707,294,436
ref_8svk_ca,target_7F2X_ca,0.28776373152341256,294,303
ref_8spz_ca,target_8E8B_ca,0.2888598749304386,283,436
ref_8spz_ca,target_6VFQ_ca,0.28985374753063936,283,425
ref_8svk_ca,target_7E1T_ca,0.29127493568860907,294,403
ref_8spz_ca,target_7E1T_ca,0.29198789023706834,283,403
ref_8spz_ca,target_7MIC_ca,0.29409568444824813,283,220
ref_8svk_ca,target_6VNV_ca,0.2949582325528762,294,274
ref_8spz_ca,target_8CIH_ca,0.2971025867407889,283,362
ref_8spz_ca,target_8UQB_ca,0.29952069881925975,283,408
ref_8svk_ca,target_8UQB_ca,0.3013184363659698,294,408
ref_8svk_ca,target_6VFQ_ca,0.3054418831128033,294,425
ref_8svk_ca,target_8SKI_ca,0.30571797518419275,294,426
ref_8svk_ca,target_7CMR_ca,0.307482732699018,294,263
ref_8spz_ca,target_8BS5_ca,0.30754615059471996,283,164
ref_8spz_ca,target_6XDB_ca,0.3077850799791591,283,404
ref_8svk_ca,target_7R3O_ca,0.3086219988611039,294,395
ref_8spz_ca,target_7BJO_ca,0.31083376095443527,283,257
ref_8svk_ca,target_6PYO_ca,0.31086676063715796,294,318
ref_8spz_ca,target_7LG3_ca,0.31135040714860485,283,394
ref_8svk_ca,target_8D6D_ca,0.3127784678545192,294,544
ref_8svk_ca,target_7BJO_ca,0.3128244705512306,294,257
ref_8svk_ca,target_5SGM_ca,0.31334911288980744,294,315
ref_8spz_ca,target_6VRO_ca,0.31355720907761914,283,334
ref_8spz_ca,target_7Y8D_ca,0.3136675487591931,283,151
ref_8svk_ca,target_8BOK_ca,0.31427494001477235,294,282
ref_8svk_ca,target_7Y8D_ca,0.31456194376491503,294,151
ref_8spz_ca,target_8BOK_ca,0.3154972376787369,283,282
ref_8spz_ca,target_7R3O_ca,0.31564442579050567,283,395
ref_8spz_ca,target_8X72_ca,0.3157876637412264,283,294
ref_8svk_ca,target_6SLW_ca,0.3161847112409979,294,245
ref_8svk_ca,target_6X5Q_ca,0.31724636102691484,294,284
ref_8svk_ca,target_7UAD_ca,0.3186615769337571,294,277
ref_8svk_ca,target_6ZUW_ca,0.3188344515099646,294,287
ref_8spz_ca,target_6LXC_ca,0.3196830092049773,283,261
ref_8spz_ca,target_8D6D_ca,0.31990411845793826,283,544
ref_8spz_ca,target_7PWT_ca,0.31990866054613337,283,237
ref_8spz_ca,target_6UJO_ca,0.3220278371390019,283,384
ref_8svk_ca,target_7MNU_ca,0.3232366291665126,294,243
ref_8spz_ca,target_8HTC_ca,0.32361671637662903,283,290
ref_8svk_ca,target_8X72_ca,0.32403168233372714,294,294
ref_8spz_ca,target_6ZUW_ca,0.32579332856170595,283,287
ref_8spz_ca,target_5SGM_ca,0.3263267374159718,283,315
ref_8svk_ca,target_7LG3_ca,0.3264371972553304,294,394
ref_8spz_ca,target_6YYK_ca,0.32929116305148015,283,318
ref_8spz_ca,target_6X5Q_ca,0.3293867749520426,283,284
ref_8spz_ca,target_7MNU_ca,0.3300373835526777,283,243
